City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,kijang,35.2442,129.2139,5.85,52,28,2.17,KR,1679250532
341,port hardy,50.6996,-127.4199,9.1,66,100,1.54,CA,1679250533
342,bilibino,68.0546,166.4372,-24.32,100,89,1.71,RU,1679250533
343,namatanai,-3.6667,152.4333,25.72,83,23,1.75,PG,1679250534
344,valkeala,60.9401,26.7979,2.22,96,100,1.54,FI,1679250535
345,adrar,20.5022,-10.0711,29.65,13,0,5.4,MR,1679250535
346,makakilo city,21.3469,-158.0858,25.11,86,40,1.54,US,1679250536
347,valley,45.1277,-116.1262,-1.89,72,100,1.82,US,1679250536
348,grand-santi,4.25,-54.3833,33.94,34,61,1.69,GF,1679250537
349,airai,-8.9266,125.4092,14.77,93,93,1.07,TL,1679250537
350,wang saphung,17.301,101.7685,26.53,63,98,1.47,TH,1679250538
351,abnub,27.2696,31.1511,19.12,31,1,5.01,EG,1679250538
352,coihaique,-45.5752,-72.0662,15.34,58,20,1.54,CL,1679250538
353,rocha,-34.4833,-54.3333,28.97,57,33,3.06,UY,1679250432
354,buzmeyin,38.0507,58.2056,14.85,72,75,0.0,TM,1679250539
355,tiarei,-17.5333,-149.3333,27.01,74,100,2.99,PF,1679250540
356,sao joao dos patos,-6.495,-43.7022,28.97,59,55,1.23,BR,1679250540
357,valga,57.7778,26.0473,2.78,85,99,1.02,EE,1679250541
358,pangnirtung,66.1451,-65.7125,-23.0,77,75,5.14,CA,1679250541
359,geraldton,-28.7667,114.6,19.23,94,2,3.6,AU,1679250542
360,kushmurun,52.4503,64.6311,-17.57,93,7,2.67,KZ,1679250542
361,gamba,-2.65,10.0,26.39,81,47,3.33,GA,1679250543
362,pizarro,4.9533,-77.366,27.98,75,73,3.24,CO,1679250544
363,qostanay,53.1667,63.5833,-10.84,67,0,2.0,KZ,1679250544
364,ambulu,-8.345,113.6058,24.18,90,97,1.45,ID,1679250545
365,manaure,11.7751,-72.4445,31.28,41,9,8.95,CO,1679250545
